text,source
"Отличный продукт! Очень доволен покупкой. Качество на высоте, рекомендую всем!",review
"Не понравилось совсем. Плохое качество, деньги на ветер.",review
"Нормальный товар, ничего особенного. Соответствует описанию.",review
"Превосходно! Лучшая покупка за последнее время. Очень рад!",review
"Ужасное качество, не рекомендую никому. Полный разочарование.",review
"Хороший продукт за свою цену. Вполне доволен.",review
"Средний товар, ничего выдающегося. Можно было и лучше.",review
"Отличное качество! Превысил все ожидания. Спасибо!",review
"Очень плохо. Не стоит своих денег. Разочарован.",review
"Нормально, как и ожидалось. Ничего особенного.",review
"Потрясающий продукт! Лучшее что я покупал. Всем советую!",review
"Не рекомендую. Качество оставляет желать лучшего.",review
"Хороший товар, соответствует описанию. Доволен покупкой.",review
"Обычный продукт, ничего особенного. Среднее качество.",review
"Отлично! Очень доволен, все как на картинке.",review
